"TOA5","degradação","CR1000","4186","CR1000.Std.08","CPU:ESTACAO_GIRASOL_2.CR1","24664","Public"
"TIMESTAMP","RECORD","BattV","PTemp_C","Solar_Wm2","Solar_KJ","Rain_mm","WS_ms","WindDir","AirTC","RH","piranometro_dif","Tot24","Batt_Volt","Crnt_A"
"TS","RN","Volts","Deg C","W/m^2","kJ/m^2","mm","meters/second","degrees","Deg C","%","w/m2","","Volts","A"
"","","","","","","","","","","","","","",""
"2021-06-22 15:29:03.45",1108828,11.83933,29.5824,82.24924,4.934953,0,2.436933,277.3876,25.18219,38.87229,213.7376,0,11.60773,60.47922
"2021-07-27 15:34:57.49",1158859,15.74503,34.46012,381.7162,22.90296,0,3.617833,290.5303,24.63956,26.42114,229.0152,0,13.26971,60.01855
"2021-08-11 15:25:10.34",1180355,13.82771,37.27063,472.6768,28.3606,0,2.9792,301.5639,27.25891,21.43825,265.9898,0,16.09834,58.10845
"2021-08-23 14:48:58.93",1194587,16.75418,40.02692,584.0695,35.04416,0,3.049433,340.8962,26.61594,25.29612,272.2081,0,13.55214,54.64787
"2021-08-25 14:13:45.45",1196454,13.18289,37.77671,687.0002,41.22,0,3.479,58.89042,26.24373,23.87481,248.8577,0,16.89747,57.95482
"2021-09-14 14:30:59.76",1354,13.97637,40.53525,290.558,17.43348,0,2.961233,282.5557,31.42063,18.56158,265.7371,0,13.62917,55.87946
"2021-09-15 15:17:52.74",432,12.64964,44.97242,217.1828,13.03097,0,0.5341,98.23881,33.614,14.54688,284.4203,0,13.81764,51.15387
"2021-09-17 14:01:40.42",5,17.18459,31.5457,816.5185,48.9911,0,3.598233,89.21961,25.53893,42.62062,277.631,0,12.21721,58.51213
"2021-09-29 12:27:59.25",86,12.14481,41.33503,950.9178,57.05506,0,2.688467,45.69302,29.66865,31.83982,284.2768,0,17.55597,51.04743
"2021-10-13 12:53:46.76",74,12.16342,36.44375,1004.081,60.24485,0,1.354033,329.3175,25.3812,43.07985,332.7408,0,12.18546,20.77656
"2021-10-13 12:56:14.38",77,11.94291,36.48442,992.3375,59.54024,0,0.7513333,312.3333,25.48338,45.24614,332.2328,0,12.08621,20.15071
"2021-10-13 16:04:48.86",265,12.77913,33.50898,129.196,7.751759,0,0.9244667,354.4163,26.7218,39.36959,339.3287,0,12.84529,39.22149
"2021-10-15 12:29:54.62",326,12.39897,32.51265,751.8195,45.10917,0,3.132733,343.1029,26.52004,51.52341,340.0897,0,12.2005,43.24672
"2021-10-18 15:29:31.38",511,13.79295,27.94445,111.632,6.697918,0,3.0331,66.23942,24.5784,65.05249,309.8544,0,13.60544,28.66526
"2021-11-08 14:01:05.14",7,13.33069,33.73491,892.7949,53.56769,0,6.009033,66.67368,24.35343,66.85851,315.9699,0,13.33069,34.58727
"2021-11-09 14:23:46.59",1469,13.238,38.68493,270.0575,16.20345,0,0.9015999,141.952,27.88497,45.71914,307.6142,4.4,13.238,18.15461
"2021-11-17 14:54:47.66",13020,13.91473,34.3065,757.5604,45.45361,0,3.315666,17.0163,26.5514,42.04315,341.1065,0,13.89267,48.97219
"2021-11-18 14:39:46.92",14445,13.96798,29.91903,411.283,24.67697,0,3.789333,281.9081,24.80988,61.55923,316.9708,0,13.96798,49.55272
"2021-11-22 12:47:48.98",20093,13.92611,33.88628,1039.619,62.37712,0,0.5569667,68.7407,25.50441,56.56738,190.6736,0,13.93713,16.20631
"2021-11-30 16:23:15.72",31829,12.69207,25.73264,32.3252,1.939512,0,1.0486,157.1242,24.21611,56.90035,296.254,1.4,12.68655,57.13155
"2021-12-16 13:55:06.17",54721,13.81921,36.03708,463.8795,27.83276,0,0.8869,72.81594,27.18713,52.86967,263.0497,0.2,13.81921,15.16626
"2021-12-23 16:53:47.77",64979,12.67892,29.18251,123.382,7.40292,0,1.015933,301.0708,26.50864,55.50288,307.5686,16,12.68444,26.67436
"2022-01-10 14:08:28.48",90734,12.24733,23.81227,108.7299,6.523792,0,6.165833,1.250671,21.72057,77.5064,132.4961,21.4,12.24733,28.47484
"2022-01-24 16:39:47.72",111045,12.94475,33.99924,123.3392,7.400353,0,0.006533334,73.16304,27.73855,41.46912,304.164,0,12.94475,39.77613
"2022-02-17 16:32:11.99",145598,13.76745,38.12011,475.6311,28.53786,0,0.7366334,281.2139,27.27605,44.46717,321.7003,0.4,13.76745,18.0378
